Signature matrix with CIBERSORTx based on the scRNA-seq study (ALLEN BRAIN MAP)																			
The "1" values in the expression matrix txt files are genes with insufficient evidence of expression (these genes are either not expressed or have inadequate statistical power to be imputed).																			
NAME	LAMP5	VIP	PAX6	Oligodendrocyte	Astrocyte	L5/6_IT_Car3	L5/6_NP	IT	SST	L6_CT	OPC	L6b	PVALB	Microglia	L5_ET	Pericyte	Endothelial	L4_IT	VLMC
ANKFN1	22.10127728	145.958212	1	1	288.3107424	1	7.717462869	5.087490252	1	13.15210267	134.2948294	1	13.51280516	1	2.977406283	1	1	1	1
ANKRD13A	9.504737322	12.43986575	7.91879219	115.0464917	1	96.97149278	7.27472299	7.742307307	18.46597026	7.951371785	1	12.29616336	13.81322767	1	7.812755851	1	1	8.514838465	1
ANKRD18A	1	1	1	223.8581951	1	7.540014244	124.5007561	13.00676267	13.8048633	246.9145956	1	4.133790224	132.0763837	1	155.6273175	1	1	1	1
ANKRD18B	1	9.692490552	12.5401605	1	1	1	13.65698452	46.08351267	1	33.19641479	1	1	1	1	1	1	1	14.10114232	1
ANKRD20A5P	70.20658479	13.95915046	38.80090998	1	1	100.5932014	338.7281969	71.07491937	33.59852241	227.7015845	55.92431531	14.15209226	199.6402223	1	143.0475298	1	1	9.038215101	1
ANKRD20A7P	8.282402869	12.3848937	9.279224732	1	1	2.090327938	7.912441001	2.887068772	8.200660849	63.04045198	17.84715474	5.006259044	9.603014625	1	4.203397603	1	1	4.897565195	1
ANKRD20A8P	1	1	1	1	1	1	18.55799055	1	1	1	1	1	1	1	1	1	1	1	1
ANKRD26P3	1	1	1	1	1	13.74042849	1	9.409779117	1	95.42243736	1	1	1	1	115.4513706	1	1	1	1
ANKRD27	7.389691525	1	1	1	12.81507868	31.22602927	61.72185939	9.771877667	1	8.427192627	1	11.58290539	1	1	4.161304444	1	1	8.211590303	1
ANKRD29	13.07113329	139.2159702	35.97949085	1	45.74525611	1	7.829267266	1	1	1	1	1	32.9724687	1	18.03025145	1	308.6841928	27.53743717	1
ANKRD30B	102.4668117	100.9046131	13.64610653	1	1	145.0567355	94.96990665	42.65884262	1	1	1	81.81608838	1	1	28.11801116	1	1	1	1
ANKRD31	1	1	1	1	1	1	1	1	1	1	1	14.49651278	1	1	1	1	1	1	1
ANKRD33B	1	1	1	1	1	77.91895115	1	89.67738113	9.3219699	105.8457614	1	130.0269968	1	1	61.72185939	1	1	163.8392929	1
ANKRD34C.AS1	1	1	130.6151602	1	1	27.59507343	154.3371707	121.0657545	104.3763715	149.2466409	1	164.619972	232.3261935	1	166.9305715	1	1	94.13004069	1
ANKRD36BP2	1	14.43036062	1	1	1	8.498070359	44.90972206	17.42095429	30.01582886	83.64008901	34.77723759	64.74958323	1	1	89.59900252	1	1	1	1
ANKRD50	9.541871774	85.50545404	128.8593829	1	1	7.54934914	8.489075174	1	44.41016764	7.469527694	1	11.61270807	68.10702503	1	8.439540246	1	1	1	1
ANKRD55	228.4855035	85.19900108	85.2441272	1	1	1	1	1	162.0619379	1	1	1	18.89311478	1	1	1	1	1	1
ANKRD62	1	1	1	1	1	1	1	1	1	31.55468164	1	46.73837437	1	1	1	1	1	8.963358957	1
ANLN	1	1	1	579.4813429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ANO2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	607.4221508	1	972.4204187
ANO3	1	1	1	1	1	1	108.0739405	350.7284708	1	377.6903488	71.77592782	198.0917471	1	1	341.9430835	482.7178625	1	151.7203634	1
ANO4	369.9545705	868.5653169	548.6726533	1369.594748	1	217.6423877	223.4282635	127.7331926	574.4999715	269.8245732	444.4896944	215.0796258	984.7167089	1	596.6139772	1	1	223.4282635	1
ANTXR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	358.1050783	1	1	78.96893104
ANXA1	1	1	1	1	1	130.3942073	1	1	1	1	1	1	1	1	1	1	202.5574884	1	386.8801655
ANXA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	93.12822934	209.9958607	1	58.78612223
ANXA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	810.2055453	1	1
ANXA4	1	1	1	180.8736351	123.4783005	1	1	3.494183423	45.23708044	3.504696513	1	1	6.165164466	254.0011993	96.50195392	153.5957455	1	1	152.2460739
ANXA5	1	1	1	1	1	47.42779746	9.077565574	1	1	1	65.82679914	12.38780607	1	110.2644888	1	154.0449197	273.5245022	93.84134542	104.2124631
AOAH	1	1	1	105.1655177	1	9.863402923	1	1	1	8.28958757	1	9.818688585	1	2227.002241	14.29690629	1	1	12.89450828	1
AP1B1	1	1	1	1	1	1.550540409	1	1	1	1	1	1.522590757	3.485738378	175.7624675	1.14287891	1	1	1	1
AP1G2	12.78967725	13.18842066	70.67622983	1	1	118.7954012	46.77988393	40.76323327	13.53229094	72.9713841	1	21.90042999	9.813807431	1	14.10387097	1	1	13.21411066	1
AP1S2	397.988218	334.4591085	558.5733184	113.6066757	17.61990884	6.168508552	1	1	1	1	1	1	12.22525415	1	14.30776468	1	236.4255389	8.868306176	106.6165769
APBB1IP	1	1	1	1	1	1	1	1	1	1	1	1	1	3294.347098	1	1	1	1	1
APCDD1	1	1	1	1	191.5997122	1	1	1	1	1	142.6889588	1	1	1	1	97.11277837	85.9253618	1	149.4474887
